/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:8.2 CYCLES:475 ICOUNT:58 IHITRATE: 70.6 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 80.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:6.5 CYCLES:6775 ICOUNT:1035 IHITRATE: 81.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:6.5 CYCLES:6700 ICOUNT:1035 IHITRATE: 82.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:6.5 CYCLES:6757 ICOUNT:1035 IHITRATE: 81.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:6.6 CYCLES:6829 ICOUNT:1035 IHITRATE: 80.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 80.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:6.6 CYCLES:6835 ICOUNT:1035 IHITRATE: 80.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:6.6 CYCLES:6871 ICOUNT:1035 IHITRATE: 79.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:6.6 CYCLES:6781 ICOUNT:1035 IHITRATE: 81.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:6.5 CYCLES:6769 ICOUNT:1035 IHITRATE: 81.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 80.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:6.5 CYCLES:6775 ICOUNT:1035 IHITRATE: 81.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:6.5 CYCLES:6700 ICOUNT:1035 IHITRATE: 82.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:6.5 CYCLES:6757 ICOUNT:1035 IHITRATE: 81.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:6.6 CYCLES:6829 ICOUNT:1035 IHITRATE: 80.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:6.6 CYCLES:6841 ICOUNT:1035 IHITRATE: 80.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:6.6 CYCLES:6835 ICOUNT:1035 IHITRATE: 80.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:6.6 CYCLES:6871 ICOUNT:1035 IHITRATE: 79.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:6.6 CYCLES:6781 ICOUNT:1035 IHITRATE: 81.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:6.5 CYCLES:6769 ICOUNT:1035 IHITRATE: 81.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:7.2 CYCLES:739 ICOUNT:102 IHITRATE: 112.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:5.6 CYCLES:7882 ICOUNT:1417 IHITRATE: 163.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:5.3 CYCLES:7558 ICOUNT:1417 IHITRATE: 174.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:5.3 CYCLES:7534 ICOUNT:1417 IHITRATE: 175.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:5.4 CYCLES:7594 ICOUNT:1417 IHITRATE: 173.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:5.3 CYCLES:7534 ICOUNT:1417 IHITRATE: 175.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:5.5 CYCLES:7834 ICOUNT:1417 IHITRATE: 165.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:5.4 CYCLES:7714 ICOUNT:1417 IHITRATE: 169.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:5.4 CYCLES:7714 ICOUNT:1417 IHITRATE: 169.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:5.5 CYCLES:7846 ICOUNT:1417 IHITRATE: 164.9 DHITRATE: 0
